date,hour,avg_price,min_price,max_price,first_price,last_price,data_points,calculated_at
2026-02-22,00,67922.546,67817.46,68060.39,67980.08,67946.0,60,2026-03-02 17:07:22
2026-02-22,01,68082.77383333334,67946.0,68171.46,67946.0,68159.31,60,2026-03-02 17:07:22
2026-02-22,02,68072.175,67872.77,68215.41,68129.38,67909.68,60,2026-03-02 17:07:22
2026-02-22,03,67972.808,67848.26,68058.1,67933.2,68041.43,60,2026-03-02 17:07:22
2026-02-22,04,68020.65183333334,67969.87,68076.46,68040.9,67983.5,60,2026-03-02 17:07:22
2026-02-22,05,67940.85583333333,67881.9,68011.75,67997.46,67977.52,60,2026-03-02 17:07:22
2026-02-22,06,68059.25916666667,67972.89,68154.18,67972.89,68038.13,60,2026-03-02 17:07:22
2026-02-22,07,68032.68183333332,67990.5,68095.57,67990.5,68005.3,60,2026-03-02 17:07:22
2026-02-22,08,67973.058,67919.74,68019.46,67989.51,67950.1,60,2026-03-02 17:07:22
2026-02-22,09,68034.77916666666,67962.71,68096.67,67962.71,68053.32,60,2026-03-02 17:07:22
2026-02-22,10,68081.916,68014.0,68150.0,68030.48,68129.56,60,2026-03-02 17:07:22
2026-02-22,11,68205.68966666669,68144.63,68244.99,68144.63,68219.97,60,2026-03-02 17:07:22
2026-02-22,12,68016.9295,67892.4,68232.39,68232.39,67928.22,60,2026-03-02 17:07:22
2026-02-22,13,67830.99616666666,67596.19,68036.02,67951.5,67652.38,60,2026-03-02 17:07:22
2026-02-22,14,67564.32266666667,67394.05,67670.0,67661.7,67443.89,60,2026-03-02 17:07:22
2026-02-22,15,67571.77366666668,67318.97,67807.4,67446.01,67684.14,60,2026-03-02 17:07:22
2026-02-22,16,67593.902,67513.84,67676.32,67676.3,67632.76,60,2026-03-02 17:07:22
2026-02-22,17,67448.29133333333,67190.0,67635.21,67635.21,67384.49,60,2026-03-02 17:07:22
2026-02-22,18,67387.74183333333,67322.19,67456.62,67367.84,67422.62,60,2026-03-02 17:07:22
2026-02-22,19,67447.71466666665,67406.74,67484.41,67436.18,67428.32,60,2026-03-02 17:07:22
2026-02-22,20,67422.9215,67371.99,67473.66,67431.37,67401.74,60,2026-03-02 17:07:22
2026-02-22,21,67521.4005,67419.82,67624.14,67419.82,67612.66,60,2026-03-02 17:07:22
2026-02-22,22,67609.54316666667,67502.1,67743.4,67612.66,67666.16,60,2026-03-02 17:07:22
2026-02-22,23,67579.28050000001,67483.77,67726.19,67690.6,67643.4,60,2026-03-02 17:07:22
